text,topic,question,context1,context2,question2,topic2
"Usually, the best leaving groups are very weak bases. Methanesulfonic acid and p-toluenesulfonic acid are extremely strong acids, Their conjugate bases are extremely weak, so the conjugate bases are excellent leaving groups. The electron missing in the carbocation was taken by another chemical compound during a chemical reaction that isn't useful to talk about right now on that chapter. Same thing for carbanion. The exceeding electron come from another chemical compound that he has taken from during a chemical reaction that isn't useful to talk about right now on that chapter. Hope I could clearly explain.",NA,What factors determine a group better at leaving than other groups?,"Usually, the best leaving groups are very weak bases. Methanesulfonic acid and p-toluenesulfonic acid are extremely strong acids, Their conjugate bases are extremely weak, so the conjugate bases are excellent leaving groups.",The electron missing in the carbocation was taken by another chemical compound during a chemical reaction that isn't useful to talk about right now on that chapter. Same thing for carbanion. The exceeding electron come from another chemical compound that he has taken from during a chemical reaction that isn't useful to talk about right now on that chapter. Hope I could clearly explain.,Where did the lone pair of electrons in carbanions come from?,Electron
"Resistance not only depends on length, area, and type of the conductor, it also changes with temperature for some devices. In a light bulb, because the temperature increases when it is illuminated, its resistance changes. People then have three variables and the relation between the current and the potential difference no longer gives a straight line (since its gradient, the resistance, is no longer a constant). Devices whose temperature changes affect the resistance are called non-ohmic devices. the first stage would be the 'activation of amino acids'. Basically this step is before the initiation stage. During this activation of amino acids a specific amino acid and an ATP will bind to an enzyme called ""aminoacyl-tRNA synthesas"". The specific amino acid will bind the aminoacyl-tRNA synthesas where it will be activated by covalently binding with the ATP turning it into AMP during the process (releasing pyrophosphate). Then a tRNA will bind the aminoacyl-tRNA synthesas and it will covalently bind with the activated amino acid (releasing AMP). When the amino acid and the tRNA bind they will be released from the aminoacyl-tRNA synthesas and can then bind with the corresponding mRNA codon. So, when the tRNA leaves the E site is basically starts over the above process.",NA,How do non ohmic devices work?,"Resistance not only depends on length, area, and type of the conductor, it also changes with temperature for some devices. In a light bulb, because the temperature increases when it is illuminated, its resistance changes. People then have three variables and the relation between the current and the potential difference no longer gives a straight line (since its gradient, the resistance, is no longer a constant). Devices whose temperature changes affect the resistance are called non-ohmic devices.","the first stage would be the 'activation of amino acids'. Basically this step is before the initiation stage. During this activation of amino acids a specific amino acid and an ATP will bind to an enzyme called ""aminoacyl-tRNA synthesas"". The specific amino acid will bind the aminoacyl-tRNA synthesas where it will be activated by covalently binding with the ATP turning it into AMP during the process (releasing pyrophosphate). Then a tRNA will bind the aminoacyl-tRNA synthesas and it will covalently bind with the activated amino acid (releasing AMP). When the amino acid and the tRNA bind they will be released from the aminoacyl-tRNA synthesas and can then bind with the corresponding mRNA codon. So, when the tRNA leaves the E site is basically starts over the above process.",From where does tRNA get revived to continue its function in the future?,Transfer RNA
"there are a few compounds that include noble gasses so they can be (slightly) reactive. While almost all chemical properties are on a continuum, this can be cumbersome to express. Saying noble gasses are 'not reactive' actually means that it is very difficult to get noble gasses to react. Another example is compounds are described as 'soluble' or 'insoluble', but if you look up the solubilities in a table, almost everything is at least a tiny bit soluble . In animals, which do cellular respiration and obtain glucose form food, oxygen consumption is directly correlated with metabolic rate. Anaerobic respiration jumps into the scene for extensive and intensive metabolic activities (such as running) when your energy consumption skyrockets. That also contributes to metabolic rate and has more prolonged effects (built up of lactic acid in muscles).",NA,How some compounds with Xe like Xe203 exists?,"there are a few compounds that include noble gasses so they can be (slightly) reactive. While almost all chemical properties are on a continuum, this can be cumbersome to express. Saying noble gasses are 'not reactive' actually means that it is very difficult to get noble gasses to react. Another example is compounds are described as 'soluble' or 'insoluble', but if you look up the solubilities in a table, almost everything is at least a tiny bit soluble .","In animals, which do cellular respiration and obtain glucose form food, oxygen consumption is directly correlated with metabolic rate. Anaerobic respiration jumps into the scene for extensive and intensive metabolic activities (such as running) when your energy consumption skyrockets. That also contributes to metabolic rate and has more prolonged effects (built up of lactic acid in muscles).",Does anaerobic respiration contribute to metabolic rate?,Anaerobic respiration
"The furthest spot can only go as high as the solvent front of the mobile phase. the spots have to be somewhat soluble in the mobile phase. And the only reason the spots move is because they are dissolved and are pulled along as the mobile phase climbs. So the spots cannot travel faster than the mobile phase. One way people can tell between the redox reaction is when people see charges on the chemical equations. If the charges don't balance, people have to assume this is a redox reaction and go through specific steps to balance the equation. The electron transfer does occur in regular chemical reactions but the charges would balance on both sides.",Elution,Is it possible for one of the spots to travel 'faster' than the mobile phase?,The furthest spot can only go as high as the solvent front of the mobile phase. the spots have to be somewhat soluble in the mobile phase. And the only reason the spots move is because they are dissolved and are pulled along as the mobile phase climbs. So the spots cannot travel faster than the mobile phase.,"One way people can tell between the redox reaction is when people see charges on the chemical equations. If the charges don't balance, people have to assume this is a redox reaction and go through specific steps to balance the equation. The electron transfer does occur in regular chemical reactions but the charges would balance on both sides.",Is there no electron transfer?,Electron transfer
"Increase the voltage (which means using a more powerful battery) while increasing the resistance (using a resistor made of a more insulant material. Leading to the same stream of electrons moving across the resistor Decrease the voltage, pushing the electrons less fiercely and thus decrease the resistance to make sure the number of electrons flowing remains the same. In Molecular Orbital theory, the LUMO of benzyne is much closer to the HOMO than it is in normal alkynes. This makes the LUMO of benzyne a much better match for the HOMO of nucleophiles. Hence, benzyne behaves as an electrophile and undergoes reactions with nucleophiles.",Resistor,How do resistors decrease voltage?,"Increase the voltage (which means using a more powerful battery) while increasing the resistance (using a resistor made of a more insulant material. Leading to the same stream of electrons moving across the resistor Decrease the voltage, pushing the electrons less fiercely and thus decrease the resistance to make sure the number of electrons flowing remains the same.","In Molecular Orbital theory, the LUMO of benzyne is much closer to the HOMO than it is in normal alkynes. This makes the LUMO of benzyne a much better match for the HOMO of nucleophiles. Hence, benzyne behaves as an electrophile and undergoes reactions with nucleophiles.",How could benzyne react as an electrophile?,Electrophile
"It is possible to determine the probability that a single atomic nucleus will 'survive' during a given interval. This probability amounts to 50% for one half-life. In an interval twice as long (2 T) the nucleus survives only with a 25% probability (half of 50%), in an interval of three half-life periods (3 T) only with 12.5% (half of 25%), and so on. You can't, however, predict the time at which a given atomic nucleus will decay. For example, even if the probability of a decay within the next second is 99%, it is nevertheless possible (but improbable) that the nucleus will decay only after millions of years. It's like flipping a coin. If you flip 'heads' ten times in a row, what are the chances that the next flip will be 'heads'. You might say, 'I've flipped ten heads in a row. The next one is much more likely to come up 'tails'. Nevertheless, your chances of flipping heads are the same as before: 1 out of 2. Some nuclei are much luckier at flipping the coin than others. They keep flipping until they get 'tails'; then they decay. While a polygenic phenotype can occur without epistasis, if you have epistasis you must be dealing with a polygenic phenotype. Polygenic just means that there are multiple genes involved in a phenotype. Epistasis refers to situations where one allele masks the phenotypic effect of one or more alleles of another gene.",Half-life,Why do we press the figurative 'reset' button once the half-life number of years has been achieved?,"It is possible to determine the probability that a single atomic nucleus will 'survive' during a given interval. This probability amounts to 50% for one half-life. In an interval twice as long (2 T) the nucleus survives only with a 25% probability (half of 50%), in an interval of three half-life periods (3 T) only with 12.5% (half of 25%), and so on. You can't, however, predict the time at which a given atomic nucleus will decay. For example, even if the probability of a decay within the next second is 99%, it is nevertheless possible (but improbable) that the nucleus will decay only after millions of years. It's like flipping a coin. If you flip 'heads' ten times in a row, what are the chances that the next flip will be 'heads'. You might say, 'I've flipped ten heads in a row. The next one is much more likely to come up 'tails'. Nevertheless, your chances of flipping heads are the same as before: 1 out of 2. Some nuclei are much luckier at flipping the coin than others. They keep flipping until they get 'tails'; then they decay.","While a polygenic phenotype can occur without epistasis, if you have epistasis you must be dealing with a polygenic phenotype. Polygenic just means that there are multiple genes involved in a phenotype. Epistasis refers to situations where one allele masks the phenotypic effect of one or more alleles of another gene.",What is the difference between polygenic and epistasis?,Epistasis
"Electricity directly heat things up, the flow of electrons creates heat. However, the power of electricity can also be used to indirectly cool things down by inducing cooling effects. A fridge works in much the way and uses the power of electricity to power machinery that cools the objects inside of it understand that 'species' is a human construct that doesn't have an exact match in nature. What actual exist are breeding populations in a given area. We may or may not classify them as the same species as some other similar breeding population somewhere else. What we usually, but not always, use as a dividing mark between species is whether the members continue to interbreed given the opportunity. If they cannot or will not normally breed, we tend to call them different species. If they are distinctly different but can and do naturally interbreed given the chance, we tend to call them different subspecies.",Refrigerator,How come the electricity(refrigerator) that can heat things up cool things down?,"Electricity directly heat things up, the flow of electrons creates heat. However, the power of electricity can also be used to indirectly cool things down by inducing cooling effects. A fridge works in much the way and uses the power of electricity to power machinery that cools the objects inside of it","understand that 'species' is a human construct that doesn't have an exact match in nature. What actual exist are breeding populations in a given area. We may or may not classify them as the same species as some other similar breeding population somewhere else. What we usually, but not always, use as a dividing mark between species is whether the members continue to interbreed given the opportunity. If they cannot or will not normally breed, we tend to call them different species. If they are distinctly different but can and do naturally interbreed given the chance, we tend to call them different subspecies.",How are they classified on the map?,NA
"metabolism is more like the whole system which is made of skeleton - anabolic and catabolic reactions. There are many ""circuits"", dots are connected (intermediates connected by enzymes which make anabolism and catabolism happen). It is so dynamic, as cell itself is dynamic Snow forms when water vapor in the air turns directly into ice because it's so cold. The ice crystals grow from additional water vapor until they fall down as snow. Hail, on the other hand, is created when existing liquid rain is carried into colder areas by updrafts and freezes into a ball of ice. Because the water in many clouds is supercooled (brought past the freezing point but still in liquid form), it is easily frozen and the hail gradually grows. This continues until the hailstone becomes too heavy to stay in the clouds and falls. ",Anabolism,If both anabolic pathways and metabolic pathways can happen at same time?,"metabolism is more like the whole system which is made of skeleton - anabolic and catabolic reactions. There are many ""circuits"", dots are connected (intermediates connected by enzymes which make anabolism and catabolism happen). It is so dynamic, as cell itself is dynamic","Snow forms when water vapor in the air turns directly into ice because it's so cold. The ice crystals grow from additional water vapor until they fall down as snow. Hail, on the other hand, is created when existing liquid rain is carried into colder areas by updrafts and freezes into a ball of ice. Because the water in many clouds is supercooled (brought past the freezing point but still in liquid form), it is easily frozen and the hail gradually grows. This continues until the hailstone becomes too heavy to stay in the clouds and falls. ",What is the difference in the formation of snow and hailstones?,Hail
"Waves are disturbances right? So if you consider an example of force: say you're pulling a rope in x direction and your friend is pulling it in -x direction, with equal forces. It doesn't move as the forces cancel out. Same is with a wave. 1 wave disturbance is moving the rope up the other is moving it down so if they're equal they cancel each other out. If not then you use the same principle. In case of EM waves, I think it's the electromagnetic force that causes it. You would have two half reactions; an oxidation half reaction and a reduction half reaction. Remember: oxidation is losing electrons, reduction is gaining electrons. So the half reaction that has some element or compound plus electrons on the REACTANTS side would be the reduction reaction. The half reaction with some element or compound plus electrons on the PRODUCTS side is the oxidation reaction.",Wave,Why waves behave this way?,"Waves are disturbances right? So if you consider an example of force: say you're pulling a rope in x direction and your friend is pulling it in -x direction, with equal forces. It doesn't move as the forces cancel out. Same is with a wave. 1 wave disturbance is moving the rope up the other is moving it down so if they're equal they cancel each other out. If not then you use the same principle. In case of EM waves, I think it's the electromagnetic force that causes it.","You would have two half reactions; an oxidation half reaction and a reduction half reaction. Remember: oxidation is losing electrons, reduction is gaining electrons. So the half reaction that has some element or compound plus electrons on the REACTANTS side would be the reduction reaction. The half reaction with some element or compound plus electrons on the PRODUCTS side is the oxidation reaction.",How do you know which is oxidation and reduction?,Redox
"We are explicitly calculating *bond* enthalpy - to me this suggests that we are focusing on the potential energy. However, when we calculate an enthalpy of a reaction, we are often$ talking about how much 'heat' has been released (or absorbed) and this must be due to changes in the motion of the individual molecules. So, I think we could view these calculations as describing the interconversion between potential and kinetic energies of the molecules. $note: Clearly there are many exceptions such as: Chemiluminescence, where the energy is given off as light; and ATP powering molecular motors such as kinesins. However, in these cases we just replacing heat with other forms of light and (non-heat) kinetic energy, respectively (or more likely a mix of heat and these other forms of energy). Only the H would go down because it gets 'eaten up' by the OH- in order to make water. In response to the H going down, the HA goes down in order to maintain equilibrium by increasing H+. SInce H+ and the A- are on the same side, they both increase. A- doesnt go down at first because OH- only reacts with H+.",NA,"Are rotational, translational KE not affected?","We are explicitly calculating *bond* enthalpy - to me this suggests that we are focusing on the potential energy. However, when we calculate an enthalpy of a reaction, we are often$ talking about how much 'heat' has been released (or absorbed) and this must be due to changes in the motion of the individual molecules. So, I think we could view these calculations as describing the interconversion between potential and kinetic energies of the molecules. $note: Clearly there are many exceptions such as: Chemiluminescence, where the energy is given off as light; and ATP powering molecular motors such as kinesins. However, in these cases we just replacing heat with other forms of light and (non-heat) kinetic energy, respectively (or more likely a mix of heat and these other forms of energy).","Only the H would go down because it gets 'eaten up' by the OH- in order to make water. In response to the H going down, the HA goes down in order to maintain equilibrium by increasing H+. SInce H+ and the A- are on the same side, they both increase. A- doesnt go down at first because OH- only reacts with H+.",Does the A- on the other side go down as well?,NA
"While the steps vary depending on the problem, the general strategy is to think about what compounds you start with and what you end with overall. All of the other compounds are intermediate states and will be used to cancel one way or another. As to which reactions to reverse, it is fair play to reverse any of the reactions--just to swap the sign for the enthalpy when you do so Carbon 3 is chiral, but people can't determine its stereochemistry because there is not a dash or wedge to denote which group (methyl or hydrogen) is in front of the other.",Chemical reaction,What reactions to reverse to start cancelling?,"While the steps vary depending on the problem, the general strategy is to think about what compounds you start with and what you end with overall. All of the other compounds are intermediate states and will be used to cancel one way or another. As to which reactions to reverse, it is fair play to reverse any of the reactions--just to swap the sign for the enthalpy when you do so","Carbon 3 is chiral, but people can't determine its stereochemistry because there is not a dash or wedge to denote which group (methyl or hydrogen) is in front of the other.",Why is not the number 3 carbon chiral as well?,Chirality (chemistry)
"Oxidation originally referred to reactions with oxygen. So compounds like FeO and Fe2O3 were called ferrous and ferric oxides, while SnO and SnO2 were called stannous and stannic oxides. In 1919 Alfred Stock suggested that the names should use Roman numerals in parentheses, to make the names iron(II), iron(III), tin(II), and tin(IV) oxides. In 1940 the IUPAC recommended that the term 'Stock number' (I, II, III, IV, etc.) be replaced by the term 'oxidation number' with Arabic numerals (1, 2, 3, 4, etc.). In 1990 it adopted the current 'rule-based' system (H = +1, O = -2, etc.) for determining oxidation numbers.  Bohr model has been replaced by the modern model of the atom. The Bohr model only worked for Hydrogen atoms, and even for hydrogen it left a lot unexplained. The reason it works somewhat for hydrogen is that even though the electrons are not in orbits there are certain energy concepts for orbits that have more universal applicability",Oxidation state,Why is it called 'oxidation state?,"Oxidation originally referred to reactions with oxygen. So compounds like FeO and Fe2O3 were called ferrous and ferric oxides, while SnO and SnO2 were called stannous and stannic oxides. In 1919 Alfred Stock suggested that the names should use Roman numerals in parentheses, to make the names iron(II), iron(III), tin(II), and tin(IV) oxides. In 1940 the IUPAC recommended that the term 'Stock number' (I, II, III, IV, etc.) be replaced by the term 'oxidation number' with Arabic numerals (1, 2, 3, 4, etc.). In 1990 it adopted the current 'rule-based' system (H = +1, O = -2, etc.) for determining oxidation numbers. ","Bohr model has been replaced by the modern model of the atom. The Bohr model only worked for Hydrogen atoms, and even for hydrogen it left a lot unexplained. The reason it works somewhat for hydrogen is that even though the electrons are not in orbits there are certain energy concepts for orbits that have more universal applicability",Why does Bohr model work?,Bohr model
