reference,prediction
What stop the salt bridge from itself building up charge?,In which direction(s) can ions flow freely in a salt bridge?
Do the proteins have a chance of going into the cell?,What type of interaction holds transmembrane proteins in the membrane?
How does the rock effect the community?,How does rock music affect the ecosystem?
"Does that mean that oxygen is the oxidation agent, and hydrogen would be the reduction agent?",What is referred to as an oxidising agent in a redox reaction?
Don't they also have to travel through the same capillaries?,What type of capillary allows larger molecules and white blood cells to flow through it?
How to identify nucleophiles or electrophiles?,"When an electronegative atom is bonded to a less electronegative one, what typically becomes an electrophile?"
Are the anode rays only nuclei?,"What were the rays thought to consist of, initially?"
Don't a voltage source and a current source both supply a current and voltage in a circuit?,What is one key difference between a voltage source and a current source?
How do ketones have a stronger dipole moment than aldehydes?,What is responsible for giving the oxygen atom in a carbonyl group of ketones more electron density than aldehydes?
"How does oxygen get dissolved in water,which supports marine life?",What happens when oxygen dissolves in water?
How plants respond to nature?,What is one way that fungi in the soil help plants?
Why is habituation considered as a learned behavior?,What is an example of how ducks combine innate and learned parts in their behavior during imprinting?
What happen if the repressor stops functioning?,What would happen if the repressor gene mutated and the resulting protein was nonfunctional?
Why is it that animal-based foods are more energy dense than the plants we eat?,What happens to energy density in an ecosystem when total energy decreases?
"How does the hydrogen bond in it conform to their definition of van dear Waals forces, which don't involve covalent bonds?",What is an example of a polar covalent bond described in the paragraph?
Will electrons always start with same number of protons?,What is the charge of an atom if it has the same number of electrons as protons?
And why do we need Plasmid?,What is one benefit of a plasmid in Bacteria?
How does caring if it`s a polar or non-polar covalent bond help us?,Why do polar and nonpolar bonds tend to dissolve in or separate out of certain substances?
Is the bacterias native plasmid kicked out or do they become neighbors?,What is generally true about the size of vector plasmids in relation to DNA in a host?
Would we divide the electrons equally between same atoms?,What happens when you assign 1 electron to each atom in a C-C bond?
Why do the voltages have to add to zero when we end up back at the same voltage?,What is the total change in elevation when people return to their starting point after hiking up and down a mountain?
What force brings these two elements together?,What is the result of an element gaining an electron in terms of its charge?
Does the fly still develop halteres that help it to balance?,What happens if ultrabithorax is inactivated?
Could people get rich changing a lead atom into a gold or silver atom and then selling it for money?,What is a problem with transmuting lead to gold using nuclear reactors?
What is the reason for the formation of polyatomic ions?,What is shown on a polyatomic ion because an electron is missing in one of its covalent bonds?
"Human evolve from apes, so if one mated with a human?",What is a result of attempting to mate humans with any other species of ape?
Why does the Hydrogen choose to bond with another hydrogen in the final step instead of to sodium?,What is left for hydrogen to react with after it has formed a full shell like a noble gas?
How to compare the electronegativity?,What is the most electronegative atom possible?
Would diffusion take place at all?,What happens to diffusion when particles have all their kinetic energy stopped?
Do plants respond to night light with no heat?,What do fungi in the soil do for plants?
Can't we just reuse the already existing energy? Why can't you turn heat into energy?,Why is it necessary to have a lower temperature area for heat energy to be useful in a system?
How do you tell acidic salt and a normal salt apart?,What type of salts are produced when strong acids and bases react?
How is acetyl chloride formed?,What type of reaction apparatus can be used to remove water during a reaction involving acetyl chloride?
How to know it is not there without fulfilling the octet rule?,"In a stable compound where oxygen has 8 valence electrons, what is the reason for its remaining unshown electrons?"
Why does Bohr model work?,What was the limitation of the Bohr model?
Why pH 7 is chosen as neutral?,What is the meaning of the pH value that measures the power or concentration of H+ ions in a substance?
How do the birds survive while trees release carbon dioxide during the night?,Why do birds not spend too much time in the same position?
"Why would an electron fall back to any energy level other than the n=1, since there are no other electrons stopping it from falling there?",What is the reason an electron cannot spontaneously jump up to a higher energy level?
How does the atom bomb fall into that every element is made up of unique atoms?,What are two types of processes that nuclear bombs derive their energy from?
Why oxygen atoms in the molecular formula of water has 4 more atoms that can be used for other bonds?,What are the lone pairs in an oxygen atom that contain?
"Weaker the acid, stronger the conjugate base?",What is true about moderately weak acids and bases in water?
Why cant oxygen atom do this inspite o is more electronegative than c and h?,What is more electronegative than both carbon and hydrogen?
Do  isotopes ever lose the extra neutron(s) or gain new ones?,How do isotopes of an element typically form?
Why are the elements in group 2 not stable with 2 valence electrons?,What is one major reason why H2 follows the octet rule?
Does size have any impact on the size of the plasmid that needs to be used?,What size of plasmid is difficult to work with?
How is resonance decreasing reactivity?,What happens to a molecule's reactivity when it becomes more stable due to resonance?
Why the oxygen acquires a positive charge when it bounds to a hydrogen?,What is the result of the oxygen atom picking up an extra proton?
"Are endocytosis and exocytosis forms of bulk transport, or are they active transport?",What two processes of bulk transport are classified as active transport?
Does Methionine go to E-site(exit) or does it remove after the polypeptides are formed?,What is a result of knockout or inhibition of Methionine aminopeptidase in bacteria?
How does Ruminococcus get in the cow's gut to begin with?,How can Ruminococcus enter a cow's body?
Why do blood go to the heart if they need oxygen?,Where does deoxygenated blood go after it leaves the right ventricle?
