reference,prediction
How is a ligament tear different from a sprain and why does it require surgery?,How does ligament stretching initiate the inflammatory response?
How is a ligament tear different from a sprain and why does it require surgery?,How do over-stretched ligaments cause swelling and pain?
Would the lungs be an Involuntary or Voluntary muscle?,How does skeletal muscle change thoracic cavity volume?
What type of muscle is responsible for breathing?,How do voluntary and involuntary muscles differ in control?
When the muscle contracts what does it pull on to straighten the leg or to bring the lower leg up?,Why does the pelvis stay still during quadriceps contraction?
Does every polypeptide start with methionine as the first amino acid?,How is start methionine removed during protein processing?
Does Methionine go to E-site(exit) or does it remove after the polypeptides are formed?,How does MAP overexpression contribute to human cancer?
Where does the tRNA go?,Why is tRNA's half-life longer than mRNA's?
Where does the tRNA go?,What enzymes disassemble tRNA for new synthesis?
Does Ribosome exists first or Protein does?,How did RNA catalyze translation before protein ribosomes?
Is the N-terminus or C-terminus formed first?,Why is the N-terminus synthesized first in proteins?
How does the RNA polymerase continue on with transcription?,How does tryptophan concentration regulate gene transcription?
Does the co-repressor unbind itself from the repressor?,How does tryptophan binding affect repressor activity?
What happen if the repressor stops functioning?,How does a nonfunctional repressor affect enzyme transcription?
Can the strength of a base or acid be determined only by its starting pH?,Why can a weak acid have lower pH than a strong acid?
How do the molecules moving down their concentration gradient in a antiporter provide the energy for the others to move in the opposite direction?,How does antiporter move molecules against their gradient?
How is the Sodium-Potassium Pump NOT an anti porter?,How does one solute's gradient fuel another's movement?
How is the Sodium-Potassium Pump NOT an anti porter?,Why is the sodium-potassium pump not considered a true antiporter?
How is the Sodium-Potassium Pump NOT an anti porter?,How does sodium ion movement power the antiporter's shape change?
Do the symporters and antiporters use ATP?,How does an antiporter use an electrochemical gradient for transport?
Is this use of renewable energy through passive transport down the concentration gradient that provides them with all of the energy needed for the exchange?,How do symporters use electrochemical gradients in secondary active transport?
Does the oxygen bonded with another oxygen don't count as another oxidation state?,How is oxygen's oxidation state determined in hydrogen peroxide?
How to determine whether an oxide is superoxide or peroxide?,Why does superoxide have a -1/2 oxygen oxidation number?
How to work out what its oxidation number is?,How does electronegativity influence an atom's oxidation state?
How to determine the oxidation state of oxygen?,Why are oxidation state rules sometimes not helpful?
What are the possible complications or consequences of a kidney infection?,How do untreated infections cause permanent kidney damage?
What would the evolutionary advantage be for having a bladder instead of just peeing?,How does bladder pressure prevent bacterial kidney infection?
Why do leave lot concentration of pure solids?,Why does a pure solid have an activity of one?
Should none of the water evaporate because the boiling point of water is 100 Celsius?,How does atmospheric pressure affect a liquid's boiling point?
How is water supposed to evaporate at 25 degrees Celsius?,How does temperature increase affect molecular energy and state?
Will atom need to gain 4 electrons or lose 4 electrons to achieve an octet?,Why do four valence electrons promote covalent bonding?
Why does air exist continuously in gaseous form?,How do weak intermolecular forces keep air gaseous?
Why do molecules of water which evaporate condense back again when the air can maintain it's KE ?,Why are air's constituents gaseous at atmospheric conditions?
Will the boiling point change?,How does atmospheric pressure affect boiling time and temperature?
How will the boiling point change?,How does atmospheric pressure affect a liquid's boiling point?
What would happen? Would the vapor pressure increase?,How does temperature influence a substance's vapor pressure?
How does the entire bulk of a liquid kept in open air evaporate ?,Why does latent heat make liquid vaporization slow?
Does vaporization occur in an open system?,Why does equilibrium not occur in an open system?
"How to explain the boiling,say of water,in an open vessel?",How does heating increase evaporation below the boiling point?
Species have lone pairs molecular geometry can only be v-shaped or trigonal pyramid?,How do lone pairs influence molecular bond angles?
Why/how was sexual reproduction introduced?,Why does sexual reproduction offer a selective advantage?
"How to account for 'new' traits, and not just novel gene combinations?",How does gene duplication facilitate the emergence of new traits?
A chromosome has just DNA with different number of pairs?,Why do different species have varying chromosome numbers?
How many chromosomes would a person have?,How do mixed chromosome sets affect sexual characteristics?
How many chromosomes would a person have?,How does an extra chromosome affect human development?
Why do human need variation?,How do mutations and recombination create population variation?
Why do we need to balance the equation?,Why do chemical equations need to be balanced for mass conservation?
Would fusion disprove the Law of Conservation of Matter?,Why do nuclear reactions require much higher temperatures?
Is it more important to have no formal charge than obey the octet rule?,Why does oxygen consume more electrons than sulfur?
Why aren't electrons on the terminal atoms considered?,Why are lone pair electrons considered for electron geometry?
How is trigonal pyramidal different from tetrahedral?,How does tetrahedral geometry differ from a true tetrahedron?
"Why doesn't the pressure of the cell (even a red blood cell that isn't rigid), balance out the net inflow?",How does a cell wall prevent osmotic lysis in plant cells?
"Why doesn't the pressure of the cell (even a red blood cell that isn't rigid), balance out the net inflow?",Why does water enter a cell in a hypotonic solution?
"Why doesn't the pressure of the cell (even a red blood cell that isn't rigid), balance out the net inflow?",Why do animal cells burst but plant cells do not?
Shouldn't there be MORE water outside the cells?,How does root pressure facilitate water uptake from soil?
Why do plants die from over-watering?,How does insufficient transpiration affect water accumulation in plant tissues?
Salt was dissolved in the digestive system so why would osmosis need to dissolve it again when diffusing the salt?,What role does the semi-permeable membrane play in osmosis?
Is it where all the work happens?,How does metabolism enable other essential chemical reactions?
Is reaction that oxygen reacts with carbon to create CO2 anabolic or catabolic?,Why does oxygen possess greater oxidative power than carbon dioxide?
Does metabolism vary widely between people?,How do various factors influence an individual's metabolism?
Does ATP transform back to ADP?,How does ADP phosphorylation store energy for cellular work?
Can ADP be used again to form back ATP?,How does ADP phosphorylation occur in mitochondria?
Does anabolism and catabolism is a cyclic process?,How does anabolism use energy from catabolic processes?
Does metabolism happen all time?,How do enzymes connect metabolic reactions into dynamic circuits?
If both anabolic pathways and metabolic pathways can happen at same time?,How do enzymes facilitate anabolic reactions within cells?
Does human beings have the capacity to use all areas of cerebral cortex or only few designated areas?,How do brain changes affect specific forms of intelligence?
What happens to the myelin sheath and nodes of ranvier?,How does myelin degradation contribute to MS axonal loss?
Is tRNA formed from these hairpin structures?,How do hairpins determine tRNA's 3D shape and function?
Why are introns are formed?,How do introns regulate gene expression?
Won't the RNA have the wrong sequence?,How do introns regulate gene expression in organisms?
Wouldn't it be more practical for the cell to just splice the DNA strand itself?,How does polymerase transcribe all DNA regions?
How to figure out that the trait is recessive?,How does dominance influence the expression of recessive traits?
How can water pass through the hydrophobic part of the cell?,How does water diffuse through the hydrophobic core?
Is the ribosome an enzyme or does it just ACT as an enzyme?,How does aminoacyl tRNA synthetase attach amino acids to tRNA?
Is the ribosome an enzyme or does it just ACT as an enzyme?,Does a complex containing enzymes qualify as an enzyme?
From where does tRNA get revived to continue its function in the future?,How does tRNA bind with activated amino acids?
Can the mRNA be translated again?,How does mRNA stability regulate cellular protein levels?
What effect would increasing the colume of the intermembrane space have on the function of a mitochondrion?,Would increased intermembrane space decrease mitochondrial respiration efficiency?
Do protons go into the mitochondria or mitochondria has extra protons itself?,How are H+ gradients created and used across membranes?
Is not complex 2 supposed to have more ability to gain electrons?,Why do NADH electrons not enter complex 2?
What would happen to total current?,Why does total current decrease when parallel resistance increases?
Can you calculate resistance and just inverse it?,Why is the relationship between conductance and resistance called a Dual?
What would the applications of parallel conductance be?,What makes parallel conductance and series resistance 'Duals'?
Don't a voltage source and a current source both supply a current and voltage in a circuit?,How does a voltage source maintain constant voltage?
Why pH 7 is chosen as neutral?,How does pH measure the concentration of H+ ions?
Where does the ATP come from?,How do light reactions provide energy for the Calvin cycle?
Does the Calvin cycle happen after the light-dependent reactions occurs or is the Calvin cycle independent?,How do molecules cycle between Calvin and light reactions?
What is the actual colour of the plant?,Why do plants appear green despite absorbing red and blue light?
How plants respond to nature?,How do plants use fungi to communicate danger messages?
Do plants respond to night light with no heat?,How do plants use soil fungi to communicate danger?
How can NaOH have a pH scale?,Why do H+ ions always exist in aqueous NaOH solutions?
Does ph of a monoprotic acid and a diprotic acid is same?,Can diprotic and monoprotic acids have the same pH?
Why does nucleolus disappear and then reappear again?,How is nucleolus disassembly controlled beyond chromosome condensation?
Do motor proteins all serve a similar function or can they have many varied or specific roles?,How do motor proteins facilitate cellular cargo transport?
What happens to the rest of the organelles?,How do organelles ensure mitosis proceeds as expected?
How does the cell make sure to rapidly attach those chromosomes to the mitotic spindle so they don't float freely or mingle with organelles?,How do organelles contribute to accurate mitotic spindle formation?
What makes chromosomes stay there?,How does kinetochore attach chromosomes to the mitotic spindle?
How many chromosomes does each daugher cell have after cell division is complete?,How do chromosome numbers differ in mitosis versus meiosis?
What happens to the metal after it cools down?,How does a metal neutralize its acquired positive charge?
What is the photon's structure?,"What makes light energy itself, not stored energy?"
How does the photon carry energy?,Why are matter and energy interconvertible at high speeds?
Where does the photon store energy?,"Why is light considered energy itself, not stored energy?"
Why does the current not increase when the kinetic energy increases?,Does amplitude affect electron kinetic energy if frequency is constant?
Why does the current not increase with increasing frequency?,Does increased frequency always lead to increased current?
Is the gene coding for the axil color what affects the flower color?,How does one gene control multiple purple color traits?
Does all the atoms in the ion need to be negative or positive for the entire to be that charge?,Does an atom always carry a neutral charge?
What is the difference between polygenic and epistasis?,How does one allele mask another gene's phenotypic effect?
Do non living things have cell?,Why do non-living things not possess cells?
Does the chromatin of the cell have any significant change?,What significant chromatin differences exist between plants and animals?
What is the reason for the formation of polyatomic ions?,How does polyatomic ion charge relate to covalent bonds?
What measures should be taken to ensure that the possibility of DNA template interconnection rather than primers does not occur?,How does temperature affect primer binding to DNA?
What is the difference between habitat and population?,How do population and community definitions precisely differ?
What is predation?,How do carnivores obtain food through predation?
What is special about acids and bases?,What makes Lewis theory the most encompassing acid-base definition?
How do you tell acidic salt and a normal salt apart?,How does acid strength determine salt neutrality?
Why aren't  human-made elements classified as compounds?,How do chemical reactions differ from creating new elements?
Was greek the *scholarly* language of earlier times so that it is even used today?,Why are Greek letters used as scientific symbols?
What is its difference to Quantum Mechanics?,How does Quantum Mechanics explain classical physics' limitations?
Will the light stay there?,Do the laws of physics apply inside black holes?
What is the probability that the male offspring will show the dominant trait?,How do sex chromosomes influence dominant trait inheritance?
How are projectiles and  freefalling objects different?,Why does only gravity act during free fall?
"If before, from which of these domains did Eukarya branch?",Why are Eukarya more similar to Archea than Bacteria?
How does Ruminococcus get in the cow's gut to begin with?,Does Ruminococcus enter the cow's gut via ingestion or inhalation?
What is the role of prokaryotes?,How do prokaryotes function without a nucleus?
And why do we need Plasmid?,Why are plasmids rare in eukaryotic cells?
Could the Moon have been of Earth?,How did early debris gravitate together forming the Moon?
Did gas giants and sun form in different ways?,How do large cores protect gas giant atmospheres from solar wind?
How are gas molecules supposed to form uranium?,How do supernova conditions cause nuclei to fuse into heavier elements?
Where does the hydrogen essential for the formation of the Sun came from?,How does unburned hydrogen coalesce into new stars?
What was the evidence?,How did extreme heat affect the Moon's heavy element composition?
Does it affect the Existence of life on Earth?,Would Earth's atmosphere survive without its magnetic field?
Is that Earth (or any other planet in solar system) has a core a theory?,How does Earth's core generate its magnetic field?
What proof is available to support Earth (or any other planet in solar system) has a core?,How does Earth's core generate its magnetic field?
Would weight change as you travel deeper underground?,Why does gravity decrease when going deeper into Earth?
What keeps the moon from collapsing itself?,How does electron repulsion prevent non-stellar object collapse?
Could any forest in the spring recovering from any winter be considered secondary succession?,Does seasonal migration constitute secondary ecological succession?
Does secondary succession always have to occur?,Does seasonal migration qualify as a form of secondary succession?
Which would lead them to cannibalism of their own kind?,Is a single organism considered an ecological community?
Why do you suppose there is an actual advantage to losing your eyes if you live in the dark?,How does lacking eyes improve an organism's energy efficiency?
How does the rock effect the community?,How does rock music affect human brain activity?
Wouldn't bacteria in the water cause illness towards animals?,Why do animal gut bacteria differ from human gut bacteria?
How do the birds survive while trees release carbon dioxide during the night?,How does bird size affect daily oxygen intake?
Does hand have its on population?,How do bacterial populations form a hand's community?
Could a ecosystem just have biotic factors but not abiotic factors?,Does an ecosystem require explicit abiotic factors to exist?
Do humans need to protect other species or can we do without?,How does losing species affect ecosystem balance and function?
Do human and it's on such a small scale scale that it doesn't matter?,How does system adaptation prevent inevitable ecological collapse?
Can that species adapt to another food source? Or will the species just die off?,How does specialized digestion limit species' dietary adaptation?
How is energy of human returned to other animals?,How do organisms return energy to the ecosystem?
Does 'bacteria' do most of the work?,Why do bacteria degrade whale carcasses slower than animals?
Would the entire ecosystem collapse?,How does a crucial organism's collapse lead to ecosystem collapse?
Would the entire ecosystem recover and how?,How does crucial organism loss cause ecosystem collapse?
Is it possible for there to be a positive outcome?,What would be the ecological consequences of human extinction?
How to define an eco-system as being separate from another eco-system?,What defines the boundaries of an ecological system?
How would we get fossils?,How does water presence influence organism fossilization chances?
What is the overall balance of energy on this process?,How does the electrochemical gradient always favor building up inside?
