reference,prediction
Species have lone pairs molecular geometry can only be v-shaped or trigonal pyramid?,How do lone pairs affect bond angles in V-shaped molecules?
Why/how was sexual reproduction introduced?,How does sexual reproduction increase population survival in changing conditions?
"How to account for 'new' traits, and not just novel gene combinations?",How does gene duplication facilitate frameshift mutations and new traits?
A chromosome has just DNA with different number of pairs?,Why do closely related species have similar chromosome numbers?
How many chromosomes would a person have?,How do chromosomes determine sexual characteristics in hermaphroditic individuals?
How many chromosomes would a person have?,How do hormones influence chromosome expression and related traits?
Why do human need variation?,How does selective pressure reduce phenotypic variation in populations?
Why do we need to balance the equation?,How does balancing equations reflect conservation of mass during reactions?
Would fusion disprove the Law of Conservation of Matter?,Why do nuclear reactions require much higher temperatures?
Is it more important to have no formal charge than obey the octet rule?,Why does oxygen's electronegativity influence sulfur's bonding?
Why aren't electrons on the terminal atoms considered?,Why do lone pairs affect electron but not molecular geometry?
How is trigonal pyramidal different from tetrahedral?,Why does NH3 trigonal pyramidal geometry result in tetrahedral geometry?
"Why doesn't the pressure of the cell (even a red blood cell that isn't rigid), balance out the net inflow?",Why do RBCs lyse while plant cells maintain structure?
"Why doesn't the pressure of the cell (even a red blood cell that isn't rigid), balance out the net inflow?",Why does higher solute concentration decrease water molecule exit probability?
"Why doesn't the pressure of the cell (even a red blood cell that isn't rigid), balance out the net inflow?",How does wall pressure prevent plant cells from bursting?
Shouldn't there be MORE water outside the cells?,How does root pressure facilitate water uptake by rhizomes?
Why do plants die from over-watering?,How does excessive water uptake impact plant tissue health?
Salt was dissolved in the digestive system so why would osmosis need to dissolve it again when diffusing the salt?,How does solute concentration gradient affect the rate of osmosis?
Is it where all the work happens?,How does metabolism regulate energy storage and release in cells?
Is reaction that oxygen reacts with carbon to create CO2 anabolic or catabolic?,Why does elemental oxygen have greater oxidative power than carbon?
Does metabolism vary widely between people?,How do hormone levels affect the rate of metabolism?
Does ATP transform back to ADP?,How does ADP phosphorylation in mitochondria create ATP energy?
Can ADP be used again to form back ATP?,How does ADP phosphorylation drive ATP production in mitochondria?
Does anabolism and catabolism is a cyclic process?,How does energy from catabolism fuel anabolic reactions?
Does metabolism happen all time?,How do anabolic and catabolic reactions coordinate within metabolism?
If both anabolic pathways and metabolic pathways can happen at same time?,How does anabolism relate to cellular dynamic metabolism overall?
Does human beings have the capacity to use all areas of cerebral cortex or only few designated areas?,How does brain damage induce savant-like abilities in some individuals?
What happens to the myelin sheath and nodes of ranvier?,How does myelin degradation relate to axonal loss in MS?
Is tRNA formed from these hairpin structures?,How do tRNA hairpins facilitate amino acid delivery?
Why are introns are formed?,How do introns regulate gene expression after being spliced out?
Won't the RNA have the wrong sequence?,How do introns regulate gene expression?
Wouldn't it be more practical for the cell to just splice the DNA strand itself?,"Why are all DNA regions transcribed, even non-coding ones?"
How to figure out that the trait is recessive?,How does dominance affect the inheritance patterns of X-linked traits?
How can water pass through the hydrophobic part of the cell?,How does hydrophobe length affect water permeability through a membrane?
Is the ribosome an enzyme or does it just ACT as an enzyme?,How does aminoacyl tRNA synthetase ensure correct amino acid binding?
Is the ribosome an enzyme or does it just ACT as an enzyme?,How do ribosomal proteins regulate rRNA enzymatic activity?
From where does tRNA get revived to continue its function in the future?,How does aminoacyl-tRNA synthetase ensure correct tRNA and amino acid pairing?
Can the mRNA be translated again?,How does mRNA stability affect the number of protein molecules produced?
What effect would increasing the colume of the intermembrane space have on the function of a mitochondrion?,How does mitochondrial size affect efficiency of cellular respiration?
Do protons go into the mitochondria or mitochondria has extra protons itself?,How do membranes maintain H+ gradients despite autoionization of water?
Is not complex 2 supposed to have more ability to gain electrons?,How does electron transfer impact proton gradient formation in complexes?
What would happen to total current?,How does parallel resistance relate to total current in a circuit?
Can you calculate resistance and just inverse it?,"How does the ""Dual"" relationship simplify circuit analysis?"
What would the applications of parallel conductance be?,How does parallel conductance relate to series resistance mathematically?
Don't a voltage source and a current source both supply a current and voltage in a circuit?,How does voltage influence current flow in a circuit?
Why pH 7 is chosen as neutral?,Why does pH measure the concentration of H+ ions?
Where does the ATP come from?,How does the Calvin cycle affect light-dependent reaction efficiency?
Does the Calvin cycle happen after the light-dependent reactions occurs or is the Calvin cycle independent?,How does the Calvin cycle regenerate molecules for light-dependent reactions?
What is the actual colour of the plant?,Why does chlorophyll make plants appear green if it absorbs red and blue light?
How plants respond to nature?,How does plant communication through fungi affect disease resistance?
Do plants respond to night light with no heat?,How does fungal network communication affect plant disease resistance?
How can NaOH have a pH scale?,How does increased OH- concentration relate to pH increase?
Does ph of a monoprotic acid and a diprotic acid is same?,Would a diprotic acid's pH always match a monoprotic acid?
Why does nucleolus disappear and then reappear again?,How is nucleolus disassembly regulated during mitosis besides DNA condensation?
Do motor proteins all serve a similar function or can they have many varied or specific roles?,How do motor proteins facilitate intracellular cargo transport?
What happens to the rest of the organelles?,How do organelles ensure proper chromosome attachment to the mitotic spindle?
How does the cell make sure to rapidly attach those chromosomes to the mitotic spindle so they don't float freely or mingle with organelles?,How do organelles coordinate during mitosis despite nucleus breakdown?
What makes chromosomes stay there?,How does kinetochore attachment affect chromosome segregation during mitosis?
How many chromosomes does each daugher cell have after cell division is complete?,How does chromosome number change during mitosis versus meiosis?
What happens to the metal after it cools down?,How does a metal lose acquired positive charge over time?
What is the photon's structure?,How does speed affect the interconvertibility of matter and energy?
How does the photon carry energy?,How is energy related to mass at relativistic speeds?
Where does the photon store energy?,How is energy related to mass at relativistic speeds?
Why does the current not increase when the kinetic energy increases?,How does frequency affect electron kinetic energy in a material?
Why does the current not increase with increasing frequency?,How does frequency affect the number of electrons flowing?
Is the gene coding for the axil color what affects the flower color?,How does one gene control multiple plant phenotypes?
Does all the atoms in the ion need to be negative or positive for the entire to be that charge?,Why does only one atom usually hold the ion's charge?
What is the difference between polygenic and epistasis?,How does one allele mask another in epistasis?
Do non living things have cell?,Why do plant cells have a larger size range than animal cells?
Does the chromatin of the cell have any significant change?,How do plant and animal chromatin structures differ significantly?
What is the reason for the formation of polyatomic ions?,How do covalent bonds affect a polyatomic ion's overall charge?
What measures should be taken to ensure that the possibility of DNA template interconnection rather than primers does not occur?,How does primer binding temperature affect DNA re-annealing efficiency?
What is the difference between habitat and population?,How do population and community differ in their composition?
What is predation?,How does predation regulate prey population size over time?
What is special about acids and bases?,"How do Arrhenius, Bronsted-Lowry, and Lewis definitions relate?"
How do you tell acidic salt and a normal salt apart?,Why do acidic salts react with water to form H3O+?
Why aren't  human-made elements classified as compounds?,How does proton number dictate an atom's elemental identity?
Was greek the *scholarly* language of earlier times so that it is even used today?,Why are Greek letters traditionally added to scientific symbols?
What is its difference to Quantum Mechanics?,Why does classical mechanics fail where quantum mechanics works?
Will the light stay there?,Is there infinite randomness behind a black hole?
What is the probability that the male offspring will show the dominant trait?,How does X/Y linkage affect dominant trait expression differently?
How are projectiles and  freefalling objects different?,How does gravity affect the acceleration of free-falling objects?
"If before, from which of these domains did Eukarya branch?",How did Eukarya evolve differently from Bacteria and Archaea?
How does Ruminococcus get in the cow's gut to begin with?,How does Ruminococcus colonize the cow gut over time?
What is the role of prokaryotes?,How do prokaryotes survive in extreme environmental conditions?
And why do we need Plasmid?,How does plasmid DNA facilitate horizontal gene transfer in bacteria?
Could the Moon have been of Earth?,How did the early Earth impact moon formation processes?
Did gas giants and sun form in different ways?,How does core size affect a gas giant's atmospheric retention?
How are gas molecules supposed to form uranium?,How does supernova temperature affect the elements created by fusion?
Where does the hydrogen essential for the formation of the Sun came from?,Why does hydrogen fusion only occur in the stellar core?
What was the evidence?,How did early Earth's heat affect the Moon's composition?
Does it affect the Existence of life on Earth?,How does Earth's molten core generate its magnetic field?
Is that Earth (or any other planet in solar system) has a core a theory?,How does Earth's core generate and sustain its magnetic field?
What proof is available to support Earth (or any other planet in solar system) has a core?,How does Earth's core generate its magnetic field?
Would weight change as you travel deeper underground?,How does Earth's mass distribution affect gravity experienced underground?
What keeps the moon from collapsing itself?,How does mass affect electron repulsion in non-stellar objects?
Could any forest in the spring recovering from any winter be considered secondary succession?,Does seasonal species behavior negate secondary succession classification?
Does secondary succession always have to occur?,Does seasonal species behavior negate secondary succession classification?
Which would lead them to cannibalism of their own kind?,How does biodiversity affect a community's resilience to disturbances?
Why do you suppose there is an actual advantage to losing your eyes if you live in the dark?,How does energy expenditure relate to eye development and maintenance?
How does the rock effect the community?,Does rock music affect the geological weathering of rocks?
Wouldn't bacteria in the water cause illness towards animals?,Why do animals and humans have different gut bacteria?
How do the birds survive while trees release carbon dioxide during the night?,How does body size relate to oxygen intake in birds?
Does hand have its on population?,What determines the bacterial population composition on a hand?
Could a ecosystem just have biotic factors but not abiotic factors?,How do ecosystems function without abiotic factors impacting them?
Do humans need to protect other species or can we do without?,How does biodiversity loss affect species inter-relatedness and ecosystem stability?
Do human and it's on such a small scale scale that it doesn't matter?,How does ecosystem adaptation rate relate to collapse likelihood?
Can that species adapt to another food source? Or will the species just die off?,How does diet specialization limit species adaptation to new food?
How is energy of human returned to other animals?,How is energy returned to the ecosystem during decomposition?
Does 'bacteria' do most of the work?,How does bacterial activity change after animal scavenging ends?
Would the entire ecosystem collapse?,How does species loss impact ecosystem collapse probability?
Would the entire ecosystem recover and how?,How does species loss affect overall ecosystem stability?
Is it possible for there to be a positive outcome?,How does niche removal impact ecosystem stability and species interactions?
How to define an eco-system as being separate from another eco-system?,How does scale affect ecosystem classification as biome or ecosphere?
How would we get fossils?,Why does fossilization favor organisms dying in or near water?
What is the overall balance of energy on this process?,How does electrochemical gradient friction affect active transport efficiency?
