text,topic,question
"Whenever you swallow something, the muscle contractions pull up on the hyoid bone, which draws the larynx up and tips the epiglottis backwards to cover the opening of the trachea. You can feel part of this process happen if you lightly press on the top of your thyroid cartilage. When you breathe you don't need to swallow the air, so the muscles don't contract and the trachea stays open. All the force driving the air comes from a partial vacuum in the lungs, so it travels through the lower pressure of the trachea rather than the oesophagus.",Trachea,How does the body know what to send down the esophagus and what to send down the trachea?
"Carbon 12 is stable and is very common, so any lab can get it easily. You would want an element that has an equal number of neutrons and protons. C12 is one of many that fit that requirement. Before they used carbon, they used to use oxygen, until the 1960's",Carbon-12,Is there any specific reason mole was defined using the number of elemental entities of carbon-12?
"since tRNA has very long half-life compared to mRNA it is present near ribosome until the end of translation but cannot re-join A site since it does not carry amino acid anymore and there is no hydrolysis of GTO an Ef-Tu factor to bind to help translation. After the translation is over, tRNAs disassemble and after quite a while degrade.",Transfer RNA,Where does the tRNA go?
"gas giants aren't failed stars, that is a common but false myth. Here is the reason the gas giants are gas giants: there used to be gas throughout the solar system, when it was a nebula. As planets grew in size, they collected gas in the form of atmospheres. However, as the SUN grew, most of the gas was blown away by the subsequent solar wind and radiation. The closer you get, the stronger it is. That's why Mercury has practically no atmosphere, and the gas giants are so large. In addition, most gas giants have solid rocky cores on the inside, and those are, in fact, larger than Earth. This means they have a greater gravitational field, counteracting the solar wind. In short: a combination of large cores and distance from the Sun allowed Gas Giants to stay gassy, while rocky planets like mercury, Mars, Venus, or earth lost most or all of that gas to solar wind.",Gas giant,Did gas giants and sun form in different ways?
"sulfur does not follow the octet rule. In Sulfur dichloride , the octet rule is obeyed. only elements in the second period follow the octet rule, and there are exceptions. C, N, O, and F always follow the octet rule, while B, Mg, and Na can deviate. boron can have 6 sometimes.",Octet rule,Why does Sulfur not follow the octet rule?
"You wouldn't know for sure, but there are a couple of factors to consider. The carbons on the end (i.e. the CH3 groups) have more H's than the middle CH2 group(s), so statistically there is a higher chance of one of these H's reacting just based on numbers. Also, the CH3 groups are more accessible, so we might expect that these would react more quickly and thus dominate in kinetically controlled reactions. In terms of thermodynamics, radicals are missing an electron (compared to a full octet) so are electron poor. Thus, their order of stability mirrors that of carbocations: more highly substituted carbon radicals are more stable than primary carbon radicals.",Radical (chemistry),How would you know which proton the chlorine radical would take?
"the soil, the atmosphere has salt. Hydro-logical cycle is no difference. It is all harmonised and synchronised so water actually picks up salt form soil as well as atmospheric waters pick up salt nuclei from the atmosphere and bring down to the ocean.",Salt,How is salt in the water?
"oxygen, nitrogen and fluorine only bind in the same way in that they form covalent bonds. Otherwise, they are completely different. To name a few: each of them form different number of bonds. Cl bonded with hydrogen is an acid, while N bonded with hydrogen is basic. Also, note that nitrogen is only more abundant in the air we breathe. Oxygen is by far the most common element on earth (47% of earth mass)",Nitrogen,Why is there so much more water on Earth than ammonia even though nitrogen is more abundant?
"Typically new cells are generated as they are needed - i.e. cells are not being killed to make room for new cells - instead cells are being made to replace cells that die for other reasons. Cells can be irreparably damaged by injury and disease, they also can wear out due to their highly demanding environment - e.g. the stomach lining, which regularly experiences extremely acidic pH (as low as 1.5) - or are unable to maintain themselves like mammalian red blood cells$. These cells must be regularly replaced for an organism to continue to live. In fact, there is some evidence that failure to remove senescent (old and relatively inactive) cells contributes to aging! $These cells lack nuclei and so can't repair themselves.",Cell (biology),What is the point of continually producing new cells?
"Usually, a carbon needs four different substituents to be a chiral center. It is more sophisticated and accurate to think that carbons must be sp3 hybridized to four different substituents in order to be a chiral center. Allenes are an exception, but since they are so rare you probably do not need to worry about them. In regard to carbanions: Remember that a lone pair of electrons counts as a substituent, so carbanions with three different atomic substituents are chiral centers. Conversely, carbocations are not chiral centers because a plane of symmetry exists down each of its three bonds: The same is true of the three bonds of carbons with a double bond. So, a carbon with only three groups attached to it--but all three groups are different--is not a chiral center, but a 'pro-chiral' center.",Carbon,Is the carbon a chiral carbon or something else?
"Humans probably can make up for some the biodiversity that we lose is synthetics ways and stuff like that, but that doesn't take care of the all of the problems. For one thing, plants do a very good job performing photosynthesis. I don't think humans have ever found away to convert energy into food. Even if we have or possibly can it's probably not as efficient as a plant's photosynthesis and it would hard to reproduce that process on a scale large enough to feed millions of people. Also, plants are at the bottom of the food chains and if we lose plants we lose all other kind of living organisms. Another effect losing biodiversity has is on the climate and cycles of water, carbon, nitrogen etc. Our climate gets messed up when the ecosystem is messed up (and our ecosystem gets messed up when the climate gets messed up...). Also,the problem with losing some biodiversity and trying to get along with only some other species is they are all inter-related in very complicated ways, and I don't think we fully understand them all. We have a intricate balance and if that gets messed up we might have more problems than we can predict. However, as we do lose biodiversity, we might have to do more with creative solution that don't make us depend on other species. But that isn't the best solution and preserving the environment, in the end, the most productive and cost-effective solution.",Species,Do humans need to protect other species or can we do without?
"glucose is a sugar that we consume in our diet, we store it in our body as glycogen... why do we store it? 2 main reasons; 1.) so that we do not become hyperactive and have too much energy used all at once or 2.) so our blood glucose levels will become normal because too much glucose in the blood leads to a serious case of hyperglycemia aka diabetes. Glycogen helps us get energy when we need it by storing excess glucose from our diet",Glucose,How does breaking up the polysacchride glucose molecule help us transfer it into energy?
Mutation rates are not reliant on sexual reproduction. Mutation is an error in copying. This can occur in sexual or asexual reproduction. Bacteria are also known to swap DNA. In fact there is a lot of unusual transfer of genetic material occurring in bacteria,Bacteria,How are  bacterias any mutations in bacteria then?
"Protease activates the reverse transcriptase, integrase, and protease in the immature viruses so they can continue the replication cycle.",Virus,Does the virus becomes mature and can infect other nearby cells?
"Natural selection favors traits that are better for the ORGANISM'S survival and reproduction not for the environment. So actually the inverse would be true. A human who has a gene (not conscious choice, as genes - not thought - are passed onto offspring) that makes him susceptible to having more children will pass on that gene (as it is likely that more of his children will survive than someone who has, say 1 child) to more offspring and will thus be selected for.",Natural selection,If natural selection is favouring traits which are beneficial for the environment?
Sugar is made up of molecules that have polar areas. The polar ends of the water molecule attract the positivately charged polar areas of the sugar molecule. Polar hydroxyl groups of the sugar molecule are solvated by water molecules.,Molecule,"Do the molecules fully break down into Carbon, Hydrogen, and Oxygen?"
There's no hard and fast rule that the definition of ecosystem has to necessarily contain the word 'abiotic factors'; only the word 'environment' is enough. For example: There are bacteria in the gut which help in breaking down food. And there are no abiotic 'factors' present in the gut. Here the gut is the bacteria's environment. So it's absolutely ok if we have an ecosystem without an abiotic factor.,Ecosystem,Could a ecosystem just have biotic factors but not abiotic factors?
This type of virus depends on components in the envelope (e.g. glycoproteins) to interact with and infect new cells. The envelope looks like the outside of a host cell and so they would probably be easier for the immune system to recognize and destroy. The envelope may also protect the rest of the virus from non-immune destruction (e.g. attack by proteases).,Virus,Would viruses still be infectious?
"Secondary consumers could be omnivores. They may be primary consumers in one food chain by eating the producers. A mouse may eat a grasshopper (secondary consumer), or it may eat seeds (primary consumer).",Trophic level,Is organism always going to occupy the secondary consumer trophic level in other food chains?
"How heavy something is depends on its mass and how strong gravity is (e.g. you weigh less on the moon than on the earth, but you mass hasn't changed). Mass and weight are, however, directly proportional (that is, both can tell you about how heavy an object is). Since mass is a constant property of an object, and not dependent on any outside forces, it can be used in kinematic formulas universally and is thus much more practical and useful than weight.",Mass,Why is mass the one that changes force?
"Even if the shorter bp of DNA migrates farther than it is supposed to, the other channels of DNA strands will also have DNA fragments going farther, so it can still be used as a reference. There is not a standard time, but naturally, one should be careful not to let it run too long, so all of the DNA does not go to one end of the gel.",Standard time,Is there a standard time for running of gel?
"Our enzymes can't properly break down some certain glucose molecules like cellulose. This is why eating celery requires a lot of energy, when we eat celery more energy goes into breaking it down into glucose than into storing energy from the food source.",Energy,"In an emergency case, can we eat them to get energy?"
"the charge is a natural property of protons and electrons. It does not appear to come from anywhere, it just exists. An electrical charge can be defined as the natural property of certain kinds of matter that cause their paths of motion to be deflected when exposed to a magnetic field. When electrical charges were first discovered, one of type of charge was arbitrarily called ""negative"" and the other type was arbitrarily called positive. Since the two types of charge tend to cancel each other out, picking one to call negative and the other to call positive is a reasonable convention.",Proton,What gives an electron a negative charge and what gives a proton a positive charge?
An isolated charge creates an electric field in the free space surrounding the charge. There isn't a force in free space because there is no other particle in the vicinity. Force only exists if there is a physical body present to experience it.,Force,Does that mean a  force exists in an isolated charge?
"It happens due to hydrolysis. The alpha subunit releases GDP, takes in GTP then leaves the beta and gamma subunits. the ligand binding to the receptor changes the conformation of the G Protein which makes it have a lower affinity of binding to GDP and increases the affinity for GTP which is why it drops the GDP and picks up the GTP.",Guanosine triphosphate,Is it actually exchanged for GTP?
"Milk develops lactic acid that is produced by the bacteria Lactobascilus casei. This lactic acid is sour ,it has a lower pH.",PH,Does it have a lower pH?
"Maybe it has something to do with the different reactions, like that there's the P680 oxidant in the light-depended reaction but only the P700 in Calvin's cycle. So my answer would be that there isn't P680 in the part of the thylakoid where the Calvin's cycle occurs. EDIT: but I'm not sure since Sal showed in the video so that it all seemed to be happening in the thylakoid membrane... hmmm... EDIT 2. XD. Maybe the both reactions happen in the thylakoid but in different kinds of proteins so that the first one has P680 and the other one has P700.",P680,Why does the electron instead go to an intermediate protein at a higher energy level than it would have in P680?
"Most chiral molecules have chiral centers, but there are some exceptions. The best known are members of a class of compounds known as allenes, which have two double bonds in a row. So some compounds can have enantiomers without having a chiral center.",Chirality (chemistry),If a molecule is a enantiomer is it necessary that its a chiral molecule?
"Well the main type of cell that does not contain 46 chromosomes is our sperm or egg cells. These cells are only Haploid (n), meaning that they have half of the chromosomes that a regular somatic (body) cell has, which is know as Diploid (2n). The main reason it has half of the chromosomes is because the sperm cell of the father will have to merge with the egg cell of the mother and if both cells had 46 chromosomes then 46 + 46 would equal 92, twice as many chromosomes than we actually have! Therefore these gamete cells have only 23 chromosomes to allow for half the genes of the mother and half the genes of the father to merge and create a baby with the genes of both parents.",Chromosome,What are some specific cells that does not contain all 46 chromosomes?
"When you divide both sides by 20 mL, the units cancel out so it does not matter what you choose. All that matters is that the unit you choose is the same throughout the equation. Dividing 27.4mL by 20mL is the same as dividing 0.0274L by 0.02L. You will get the same number and there will be no units! So, we can say that mL were used simply because the information was given in mL and it would have been unecessary to change.",Litre,Shouldn't the unit of the volume be in litres (the same way that molarity uses litres)?
"It is possible to determine the probability that a single atomic nucleus will 'survive' during a given interval. This probability amounts to 50% for one half-life. In an interval twice as long (2 T) the nucleus survives only with a 25% probability (half of 50%), in an interval of three half-life periods (3 T) only with 12.5% (half of 25%), and so on. You can't, however, predict the time at which a given atomic nucleus will decay. For example, even if the probability of a decay within the next second is 99%, it is nevertheless possible (but improbable) that the nucleus will decay only after millions of years. It's like flipping a coin. If you flip 'heads' ten times in a row, what are the chances that the next flip will be 'heads'. You might say, 'I've flipped ten heads in a row. The next one is much more likely to come up 'tails'. Nevertheless, your chances of flipping heads are the same as before: 1 out of 2. Some nuclei are much luckier at flipping the coin than others. They keep flipping until they get 'tails'; then they decay.",Probability,Do the remaining original elements have an even more likely chance of decaying sooner than later?
ll bare protons absorb at the same frequency and field strength. Let's call them v0 and B0. But protons in molecules are shielded by the electrons around them. That means that a higher external field will be needed to achieve resonance. Protons that are less shielded will require a lower external/frequency. Protons that are more shielded will require a higher external/frequency. ,Magnetic field,"Why inspite of providing higher magnetic field in case of shielded proton, resonance occurs at lower frequency?"
"you cannot heat steam 'forever'. Like all molecules, when sufficiently hot it will decompose. There is not a set temperature at which it decomposes, it is more of a gradual process as the temperature increases. You start getting significant quantities of water decomposing at around 2500 K. At about 3000 K you get around 50% of water molecules decomposing. Of course, this is a rather hot temperature and it is rather impractical to generate, much less create a container to house the reaction.",Temperature,Is there a limit to that the steam will get hotter?
"One possible way geothermal energy can be used is, certain forms of algae and other aquatic microbes live associated with geothermal springs. These algae use a method called _chemosynthesis_ with geothermal energy used primarily as an energy source",Geothermal energy,What would geothermal energy be used for as an energy source?
"The molecules in the water have a range of kinetic energies, from low to high. Some of the molecules have sufficient kinetic energy to break out and to enter the air. In coastal areas there are also factors. For example, waves churn up the water and give rise to very fine droplets that can get carried in the wind.",Water,How does water evaporate?
"At the same time that vesicles pinch off of the ER, there are vesicles arriving at the ER, restoring its share of membrane. The net result is that it doesn't really change in size. Also cells can manufacture membrane phospholipids in the cytosol. This is important for cell growth so that eventually division is possible.",ER (TV series),Does the ER become smaller and smaller every time?
"Water passing in and out of membranes dilutes or concentrates the solute in or out of the membrane. So if there is a lot of solute inside the membrane and not much outside, the water will go into the membrane to dilute the higher concentration so that it becomes lower and reaches equilibrium.",Concentration,What about a higher concentration of water in the membrane would help the system reach equilibrium?
"Retinoblastoma (RB) prevents DNA replication. When retinoblastoma is phosyphorylated however, RB is inactivated and so DNA replication can proceed. so RB blocks synthesis, until cyclins are produced (cyclin E and cylcin D to be specific) when the cell has made the neecessary preparations.",Retinoblastoma,Is the cyclin's function to stop retinoblastoma from blocking the process?
The molarity you use to measure the equilibrium constant is the molarity at equilibrium.,Molar concentration,At what point are you supposed to use the molarity?
", chlorine is much smaller and has a higher affinity to the electrons it has. Even as an anion, it is less inclined to give up an electron due to its high affinity. The acid is only present at very low concentration compared to the monomer molecules, which make up essentially 100% of the reactants. The acid catalyst (better termed as a promoter here, because it never really regenerates) starts the reaction by protonating one of the monomers, forming the carbocation. From there, based on the population of the reaction mixture, the resulting carbocation is MUCH more likely to find another monomer's pi cloud. It is true that HCl will add across a double bond (a very standard addition reaction), but in that case both molecules (alkene plus HCl) are present in each quantity. Such is not the case here. A tiny amount of acid will trigger the linking of all of the monomers. ",Electron,Why is stealing an electron from a double bonded Carbon easier than stealing the electron from a Chloride anion?
"Ionic is a stronger bond. bond strength depends on multiple factors and you can't easily compare the strengths of ionic vs covalent bonds note: covalent vs.ionic is a continuum, the only completely covalent bonds are between identical atoms in identical contexts e.g.s `H-H`, `O=O`, 'H3C-CH3`. All other bonds range from covalent with very low polarity (usually described as 'non-polar covalent bonds') to extremely high polarity (aka. 'ionic bonds'). ",Covalent bond,Which bond is stronger ionic or covalent?
"Water is able to go through the cellular membrane hydrophobic tails,it takes them a lot of time since the hydrophobic tails attempt to repel the water. However, after a given amount go time the water is able to get through. Through passive transport it takes less time for the water to get to the other side of the cell membrane.",Cell membrane,How can water diffuse through the cellular membrane?
"boiling point will change, that has a lot to do with atmospheric pressure, and that is why in some places it takes a higher heat to boil or in others a lower heat to boil. Also about that topic it can take a longer time to boil or shorter based on atmospheric pressure, but that has more to do with pressure than heat.",Boiling point,How will the boiling point change?
"Having 2 strands is essential in the DNA replication process, where both strands act as a template in creating a copy of the DNA and repairing damage to the DNA. Additionally the process of transcription is directional with the coding strand acting as the template strand for genes that are being transcribed the other way.",Coding strand,What is the benefit of the coding strand?
"1. Hydrolysis is a term for both: electro-chemical process and biological one. When you separate water molecule via electric current is electrochemical, and condensation reaction explained here is biological. 2. Our bodies use amylase because the reverse process is not spontaneous and favored. Glycosidic bonds are stable and making inaccessible for a water molecule to break them.",Amylase,Why do our bodies use amylase?
"The electromagnetic force is considered a fundamental force. Fundamental meaning that there is no other known underlying mechanism behind it. So the electric field is just that, the electric field. Quantum mechanically the electric field is explained through the exchange of virtual photons between charges, but then photons themselves are explained as localized excitations of the electromagnetic field.",Electric field,What is the electric field made out of?
"shortwave radiation is higher energy than long wave radiation. If it were possible, in order to make a long wave short again, we would need somehow give that radiation back some energy. Generating energy usually requires burning fossil fuels, which produce CO2, which only accelerates the process of global warming. So far, it seems the best option is to find a way to suck CO2 out of the atmosphere.",Longwave,Is it possible for human to convert the longwave one into short before releasing them to the space?
"It is not actually *everything* that gets eaten, although a lot is eaten 'before it can go into the ground.' The formation of fossils is uncommon, but does happen. One important element determining whether or not fossilization happens is if the living organism died in or near water.",Fossil,How would we get fossils?
"The nucleophile is not reacting with the solvent. It is being surrounded by a shell of solvent molecules. The F- ion is small, so it has a high charge density, and the water molecules are held tightly to it. The I- ion is large, so it has a low charge density, and the water molecules are held loosely to it. A nucleophile has to push the solvent molecules out of the way in order to attack the substrate, so F- is a poorer nucleophile in a polar protic solvent. ",Protic solvent,Why is I- a better nucleophile in a polar protic solvent?
Most strong acids readily donate a proton to even weak bases like water. Do not just think of electronegativity. Any acid stronger than water will create hydronium. This is the leveling effect of water.,Hydronium,Why would oxygen will give its electron to hydrogen in the formation of H3O+?
"Size of an animal cell ranges from 10 to 30 micrometres while for plant cell it ranges from 10 to 100 micrometers. 1 micrometer is 1/1000 of a millimetre. And non-living things do not have a cell. They are not living and thus don't need any of our body systems. They just need a structure, no body systems, thus no cells. So non living things don't need cells.",Cell (biology),Do non living things have cell?
"presently all cells come from other cells - this means that any existing cell got the ribosomes it begins with from a progenitor cell, so any protein (including new ribosomal proteins) will initially be made by a ribosome that came from a progenitor cell. Enzymes can also be made from RNA and RNA is actually still used to catalyze some critical cellular processes such as translation. These observations led to the hypothesis that there was an ""RNA world"" in which RNA served to both store information (like DNA does now) and to catalyze reactions (as is now usually done by proteins).",Ribosome,Does Ribosome exists first or Protein does?
"A membrane bound nucleus is basically the control center of a eukaryotic cell. It houses the genetic information (DNA and RNA). It is called membrane boundbecause the nucleus is surrounded by membranes. These membranes are in the nuclear envelope, which lets RNA as well as other things go outside the nucleus and into the cell. Prokaryotic cells can survive without membrane bound nuclei because their genetic information is in the cytoplasm. The cytoplasm is the part of the cell outside the nucleus.",Cell nucleus,How can prokaryotes survive without the membrane bound nucleus?
"The half-life is a statistical probability. Without getting too much into the math, you can think of the half-life as being the time it takes for there to be a 50% chance that any given particle will decay. But, just understand that there is no 'due date'. If the particle has not decayed after one half life, it is no more likely to decay in the next half life than in the first. In this sense, there is no 'history' of how long the particle has waited around to decay -- the chances of it decaying never change. There will always be a 50% chance that it will decay during any time span equaling its half-life. This is just as true for the first half-life as it is for the 70th half-life. If you have a statistically large number of such particles (say, a few million) there is almost certainly going to be half of them that decay every half-life. It won't be exactly half, but it will be very close to it.",Half-life,How to find out the half-life?
"A ligament can be injured, usually by being over-stretched during a sudden pull. The ligaments at the side of the ankle are the ones most commonly sprained. A damaged ankle ligament causes inflammation, swelling, and bleeding (which shows as bruising) around the affected joint. Moving of the joint is painful.",Ligament,How is a ligament tear different from a sprain and why does it require surgery?
The formal definition of voltage is based on two positive charges near each other. One charge is in a fixed location and a second test charge is moved toward and away from the other. The farther away the test charge gets the lower its potential and the lower its voltage. Power generated by the electric utility is not using this simple setup. People don't collect a big pile of electrons as the fixed charge and repel some free electrons into the transmission lines. The voltage would drop if people lived farther away from the power station.,Voltage,Will the voltage not decrease from the increase of distance from the power generation site to people's house (according to the formula)?
"If not being given any other info it's safe to assume it's equal to the number of protons. If it's a positive ion, then it has lost electrons equal to the charge. If it's a negative ion then it has gained electrons equal to the charge.",Electron,How to know the number of valance electrons in an atom?
"the second law only applies to the universe as a whole, so some reactions can have decreasing entropy as long as the entire sum is positive. Spontaneous reactions occur when change in G (free energy, or delthaH - Tx deltaS) is less than zero across a reaction.",Spontaneous process,Does this make a reaction spontaneous?
"mtDNA changes over time. It is not like you can use 10% of DNA and then trace it back 100.000 Years ago. Actually maybe it is possible thanks to massive sequencing / it would be meta-genomic study. However, mtDNA is not enough since it carries only around 30 proteins in humans.",Human,Could you trace it all the way back to the point of the common ancestor between the species?
"Using concentrations in the Nernst equation is a simplification. In reality, what we care about is the activity. For solutions, the activity is equal to the concentration, which is why we can get away with just writing concentrations for these species. Pure solids and liquids have an activity of 1, so we can ignore them (since multiplying by 1 doesn't change the value).",Solid,Why do leave lot concentration of pure solids?
